1081038;XY-IWX;2014-05-09;NOC;2014-05-10;Maintenance;1;0
1081051;XY-JXR;2010-09-10;LED;2010-09-11;Maintenance;1;0
1081052;XY-LQZ;2012-01-15;LED;2012-01-15;Maintenance;1;0
1081054;XY-YAZ;2014-10-26;BOD;2014-10-27;Maintenance;1;0
1081055;XY-IOO;2011-05-09;MAH;2011-05-10;Maintenance;1;0
1081059;XY-OHF;2016-01-25;AOI;2016-01-26;Maintenance;1;0
1081065;XY-MBJ;2015-01-15;TRD;2015-01-15;Maintenance;1;0
1081069;XY-LQZ;2012-03-20;ZRH;2012-03-21;Maintenance;1;0
1081071;XY-NMY;2013-08-07;TZL;2013-08-07;Maintenance;1;0
1081076;XY-ZWJ;2011-10-10;SDR;2011-10-10;Maintenance;1;0
1081078;XY-ZWJ;2014-07-28;VST;2014-07-29;Maintenance;1;0
1081080;XY-YTM;2013-08-22;LBA;2013-08-23;Maintenance;1;0
1081082;XY-MBJ;2015-02-02;PSR;2015-02-03;Maintenance;1;0
1081085;XY-JXR;2016-06-03;DEB;2016-06-03;Maintenance;1;0
1081090;XY-ZMF;2010-10-01;ORY;2010-10-02;Maintenance;1;0
153207;XY-CMJ;2014-05-16;KGS;2014-05-17;Maintenance;1;0
1082012;XY-PZC;2013-02-12;MAD;2013-02-13;Maintenance;1;0
1082019;XY-LQZ;2014-03-19;PSR;2014-03-20;Maintenance;1;0
1082022;XY-NHZ;2015-03-23;NCL;2015-03-23;Maintenance;1;0
1082058;XY-OFW;2011-05-02;TXL;2011-05-03;Maintenance;1;0
1082061;XY-OZH;2010-09-14;KRK;2010-09-15;Maintenance;1;0
1082064;XY-LQZ;2011-07-15;EGC;2011-07-16;Maintenance;1;0
1082065;XY-OFW;2010-03-28;ZTH;2010-03-29;Maintenance;1;0
1082067;XY-YTM;2014-02-01;VAR;2014-02-02;Maintenance;1;0
1082069;XY-NHZ;2010-04-29;VLC;2010-04-30;Maintenance;1;0
1082077;XY-YTM;2016-07-18;VRN;2016-07-19;Maintenance;1;0
1082087;XY-ALV;2010-07-02;BHD;2010-07-03;Maintenance;1;0
1082096;XY-IOO;2015-07-31;VST;2015-08-01;Maintenance;1;0
153306;XY-NHZ;2010-12-27;GLA;2010-12-28;Maintenance;1;0
153307;XY-OFW;2010-02-10;BMA;2010-02-11;Maintenance;1;0
1083013;XY-NHZ;2012-05-14;TLL;2012-05-15;Maintenance;1;0
